tick,trip_no,lat,lng,step_to_next,mercato_x,mercato_y
1561947216.0,3,50.94152,6.94028,11.0,772588.4355627407,6610955.79973587
1561947216.0,4,50.96392,6.99697,7.0,778899.1374958113,6614914.068252872
1561947219.0,0,50.97438,6.96915,11.0,775802.2292619424,6616763.091987923
1561947220.0,1,50.92687,6.93249,10.0,771721.2567294611,6608368.052812733
1561947223.0,4,50.96378,6.99742,7.0,778949.2312666683,6614889.32314883
1561947224.0,5,50.92329,6.95891,13.0,774662.3176762194,6607735.8126327135
1561947227.0,3,50.94125,6.94021,11.0,772580.6431983851,6610908.100097408
1561947230.0,0,50.97453,6.97089,11.0,775995.9251759227,6616789.610653401
1561947230.0,1,50.92675,6.93226,10.0,771695.6532465786,6608346.859616356
1561947230.0,4,50.96372,6.99764,7.0,778973.7215546429,6614878.718127068
1561947237.0,4,50.9637,6.99775,7.0,778985.9666986301,6614875.183122862
1561947237.0,5,50.92359,6.95882,13.0,774652.2989220481,6607788.791785718
1561947238.0,3,50.94034,6.93997,11.0,772553.9265205947,6610747.336689287
1561947240.0,1,50.92648,6.93182,10.0,771646.6726706296,6608299.175124386
1561947241.0,0,50.97483,6.973,11.0,776230.8093014966,6616842.648241321
1561947244.0,4,50.96364,6.99788,7.0,779000.4382324333,6614864.578119362
1561947249.0,3,50.93928,6.93971,11.0,772524.9834529886,6610560.077785317
1561947250.0,1,50.9264,6.93168,10.0,771631.0879419185,6608285.0464391755
1561947250.0,5,50.92451,6.95862,13.0,774630.0350238894,6607951.263318533
1561947251.0,4,50.9635,6.99831,7.0,779048.3056134743,6614839.833164464
1561947252.0,0,50.9749,6.97346,11.0,776282.0162672616,6616855.0237278035
1561947258.0,4,50.96336,6.99877,7.0,779099.5125792393,6614815.088284129
1561947260.0,1,50.92627,6.93137,10.0,771596.5788997726,6608262.08737753
1561947260.0,3,50.93918,6.93963,11.0,772516.0778937251,6610542.412071343
1561947263.0,0,50.97505,6.97416,11.0,776359.9399108168,6616881.542690225
1561947263.0,5,50.9257,6.95829,13.0,774593.2995919276,6608161.421480011
1561947265.0,4,50.96329,6.99911,7.0,779137.3612061089,6614802.715871932
1561947270.0,1,50.92586,6.93021,10.0,771467.4482904525,6608189.67844953
1561947271.0,3,50.93879,6.9395,11.0,772501.6063599219,6610473.5161498515
1561947272.0,4,50.96306,6.9999,7.0,779225.3036038356,6614762.0637916615
1561947274.0,0,50.97508,6.97428,11.0,776373.298249712,6616886.846492986
1561947276.0,5,50.92651,6.95806,13.0,774567.6961090451,6608304.473387604
1561947279.0,4,50.96289,7.0003,7.0,779269.831400153,6614732.016731251
1561947280.0,1,50.92581,6.93007,10.0,771451.8635617413,6608180.848136117
1561947282.0,3,50.93826,6.93936,11.0,772486.0216312108,6610379.889285344
1561947285.0,0,50.97525,6.97416,11.0,776359.9399108168,6616916.901440031
1561947286.0,4,50.96275,7.00077,7.0,779322.1515608259,6614707.272175817
1561947289.0,5,50.92645,6.95794,13.0,774554.3377701499,6608293.876864582
1561947290.0,1,50.92575,6.9299,10.0,771432.9392483064,6608170.251772545
1561947293.0,3,50.93826,6.93963,11.0,772516.0778937251,6610379.889285344
1561947293.0,4,50.96244,7.00192,7.0,779450.1689752381,6614652.480925576
